0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '4.32€', 'LABEL': 'b-total'}","{'TEXT': '05/01/2017', 'LABEL': 'b-date'}",{'id': '63'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CTTY', 'LABEL': 'b-company'}","{'TEXT': 'CHATELATLLON', 'LABEL': 'i-company'}","{'TEXT': '38', 'LABEL': 'b-address'}","{'TEXT': 'BLD', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'LIBERATION', 'LABEL': 'i-address'}","{'TEXT': 'CHATELATLLON', 'LABEL': 'i-address'}","{'TEXT': '17340', 'LABEL': 'i-address'}","{'TEXT': '20.00€', 'LABEL': 'b-total'}","{'TEXT': '19/12/2016', 'LABEL': 'b-date'}",{'id': '189'},,,,,,,,,,,,,,,,,,,
"{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': 'MINIMES', 'LABEL': 'i-address'}","{'TEXT': 'Pole', 'LABEL': 'i-address'}","{'TEXT': 'loisirs', 'LABEL': 'i-address'}","{'TEXT': 'des', 'LABEL': 'i-address'}","{'TEXT': 'Minimes', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'la', 'LABEL': 'i-address'}","{'TEXT': 'Scierie', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '12/06/2017', 'LABEL': 'b-date'}","{'TEXT': '8.40', 'LABEL': 'b-total'}",{'id': '837'},,,,,,,,,,,,,,,
"{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '1el', 'LABEL': 'i-address'}","{'TEXT': '8.90€', 'LABEL': 'b-total'}","{'TEXT': '05/09/2016', 'LABEL': 'b-date'}",{'id': '162'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CONTACT', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '170', 'LABEL': 'b-address'}","{'TEXT': 'AV', 'LABEL': 'i-address'}","{'TEXT': 'EMTLE', 'LABEL': 'i-address'}","{'TEXT': 'NORMANDIN', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '04/01/2017', 'LABEL': 'b-date'}",{'id': '176'},,,,,,,,,,,,,,,,,,,
"{'TEXT': 'PLEINE', 'LABEL': 'b-company'}","{'TEXT': 'NÂTURE', 'LABEL': 'i-company'}","{'TEXT': 'AVIGNON', 'LABEL': 'i-company'}","{'TEXT': 'NORD', 'LABEL': 'i-company'}","{'TEXT': 'CC', 'LABEL': 'i-address'}","{'TEXT': 'AVTGNON', 'LABEL': 'i-address'}","{'TEXT': 'NORD', 'LABEL': 'i-address'}","{'TEXT': '84700', 'LABEL': 'i-address'}","{'TEXT': '—', 'LABEL': 'i-address'}","{'TEXT': 'SORGUES', 'LABEL': 'i-address'}","{'TEXT': '1e', 'LABEL': 'i-address'}","{'TEXT': '04', 'LABEL': 'i-address'}","{'TEXT': '90', 'LABEL': 'i-address'}","{'TEXT': '32', 'LABEL': 'i-address'}","{'TEXT': '65', 'LABEL': 'i-address'}","{'TEXT': '33', 'LABEL': 'i-address'}","{'TEXT': 'CRUSTY', 'LABEL': 'i-address'}","{'TEXT': 'EPEAUTRE', 'LABEL': 'i-address'}","{'TEXT': 'FR', 'LABEL': 'i-address'}","{'TEXT': '2', 'LABEL': 'i-address'}","{'TEXT': 'T9EUR', 'LABEL': 'i-address'}","{'TEXT': 'MIX', 'LABEL': 'i-address'}","{'TEXT': 'TIBETAIN', 'LABEL': 'i-address'}","{'TEXT': 'VRAC', 'LABEL': 'i-address'}","{'TEXT': '1.55EUR', 'LABEL': 'i-address'}","{'TEXT': '10', 'LABEL': 'b-total'}","{'TEXT': '.SOEUR', 'LABEL': 'i-total'}","{'TEXT': '04/07/2017', 'LABEL': 'b-date'}",{'id': '610'},,
"{'TEXT': '13/02/2017', 'LABEL': 'b-date'}",{'id': '1384'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'A', 'LABEL': 'i-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'FERME', 'LABEL': 'i-company'}","{'TEXT': 'D‘AUNIS', 'LABEL': 'i-company'}","{'TEXT': 'RUK', 'LABEL': 'i-company'}","{'TEXT': 'TPHRODORE', 'LABEL': 'i-company'}","{'TEXT': '‘POURNAT', 'LABEL': 'i-company'}","{'TEXT': '17700', 'LABEL': 'i-address'}","{'TEXT': 'SURGERES', 'LABEL': 'i-address'}","{'TEXT': '12.40', 'LABEL': 'b-total'}","{'TEXT': '20/04/17', 'LABEL': 'b-date'}",{'id': '1151'},,,,,,,,,,,,,,,,,,,
"{'TEXT': 'BIENVENUE', 'LABEL': 'b-company'}","{'TEXT': 'A', 'LABEL': 'i-company'}","{'TEXT': 'DISNEYLAND', 'LABEL': 'i-company'}","{'TEXT': '16/4/2017', 'LABEL': 'b-date'}","{'TEXT': '13.79', 'LABEL': 'b-total'}",{'id': '1623'},,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '22.78€', 'LABEL': 'b-total'}","{'TEXT': '18/06/2017', 'LABEL': 'b-date'}",{'id': '348'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '6.02€', 'LABEL': 'b-total'}","{'TEXT': '29/05/2017', 'LABEL': 'b-date'}",{'id': '374'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF', 'LABEL': 'b-company'}","{'TEXT': 'CTTY', 'LABEL': 'i-company'}","{'TEXT': 'PARTS', 'LABEL': 'i-company'}","{'TEXT': 'NTEPCE', 'LABEL': 'i-company'}","{'TEXT': '17', 'LABEL': 'b-address'}","{'TEXT': 'rue', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'niepce', 'LABEL': 'i-address'}","{'TEXT': '75014', 'LABEL': 'i-address'}","{'TEXT': 'Paris', 'LABEL': 'i-address'}","{'TEXT': 'Tel', 'LABEL': 'i-address'}","{'TEXT': '08/06/2017', 'LABEL': 'b-date'}",{'id': '599'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'AVENUE', 'LABEL': 'b-address'}","{'TEXT': 'DU', 'LABEL': 'i-company'}","{'TEXT': 'FIEF', 'LABEL': 'i-company'}","{'TEXT': 'ROSE', 'LABEL': 'i-company'}","{'TEXT': '40', 'LABEL': 'i-address'}","{'TEXT': 'LAGORD', 'LABEL': 'i-address'}","{'TEXT': '/07', 'LABEL': 'i-date'}",{'id': '1025'},,,,,,,,,,,,,,,,,,,,,,,
